0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
HK.00691,HK.00743,HK.00914,HK.01313,HK.02009,HK.03323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.01375,HK.01456,HK.01461,HK.01476,HK.01776,HK.02611,HK.03678,HK.03908,HK.03958,HK.06030,HK.06058,HK.06066,HK.06099,HK.06178,HK.06806,HK.06837,HK.06881,HK.06886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00390,HK.01186,HK.01618,HK.01766,HK.01800,HK.03898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00135,HK.00342,HK.00384,HK.00392,HK.00603,HK.00702,HK.00931,HK.01083,HK.01193,HK.01430,HK.01600,HK.02688,HK.03633,HK.06828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00107,HK.00177,HK.00525,HK.00548,HK.00576,HK.00737,HK.00995,HK.01052,HK.01098,HK.01785,HK.80737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00323,HK.00347,HK.00358,HK.01053,HK.02600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00001,HK.00006,HK.00008,HK.00215,HK.00432,HK.00775,HK.01038,HK.01113,HK.02383,HK.02638,HK.06823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00291,HK.00836,HK.01109,HK.01193,HK.01313,HK.01515,HK.03320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00241,HK.01833,HK.02159,HK.06060,HK.06618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00005,HK.00011,HK.00023,HK.02356,HK.02388,HK.02888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.03097,HK.03175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.01167,HK.01228,HK.01477,HK.01672,HK.01875,HK.01952,HK.02126,HK.02137,HK.02142,HK.02157,HK.02160,HK.02162,HK.02170,HK.02171,HK.02181,HK.02190,HK.02197,HK.02216,HK.02235,HK.02251,HK.02252,HK.02256,HK.02257,HK.02500,HK.02552,HK.02616,HK.03681,HK.06185,HK.06606,HK.06609,HK.06622,HK.06628,HK.06669,HK.06855,HK.06978,HK.06996,HK.06998,HK.09688,HK.09926,HK.09939,HK.09966,HK.09969,HK.09995,HK.09996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00020,HK.01024,HK.01810,HK.02015,HK.02057,HK.03690,HK.06608,HK.09618,HK.09626,HK.09698,HK.09866,HK.09868,HK.09888,HK.09898,HK.09959,HK.09988,HK.09991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.01521,HK.01548,HK.01873,HK.02269,HK.02359,HK.03347,HK.03759,HK.06127,HK.06821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00002,HK.00003,HK.00052,HK.00066,HK.00178,HK.00341,HK.00592,HK.00973,HK.01869,HK.01910,HK.01913,HK.02638,HK.06811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00168,HK.00236,HK.00291,HK.00305,HK.00411,HK.00526,HK.01134,HK.01539,HK.01876,HK.01942,HK.08150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00302,HK.01948,HK.02400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00285,HK.00336,HK.02182,HK.03318,HK.06055,HK.06969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.01003,HK.01060,HK.01896,HK.01970,HK.02125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00095,HK.00152,HK.00285,HK.00548,HK.00604,HK.01211,HK.01638,HK.03380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00291,HK.00520,HK.00788,HK.00853,HK.00881,HK.00909,HK.00914,HK.00956,HK.01091,HK.01209,HK.01302,HK.01368,HK.01516,HK.01521,HK.01530,HK.01548,HK.01666,HK.01789,HK.01801,HK.01877,HK.01951,HK.01952,HK.02096,HK.02126,HK.02142,HK.02148,HK.02160,HK.02162,HK.02186,HK.02190,HK.02252,HK.02359,HK.02500,HK.03347,HK.03600,HK.03606,HK.03690,HK.03692,HK.03868,HK.06049,HK.06078,HK.06160,HK.06608,HK.06618,HK.06622,HK.06699,HK.06862,HK.06993,HK.06996,HK.06998,HK.08083,HK.09666,HK.09983,HK.09995,HK.09996,HK.09997,,,,,,,,,,,,,,,,,,,,
HK.00241,HK.00376,HK.01060,HK.01336,HK.02601,HK.02628,HK.03818,HK.06808,HK.09988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00073,HK.00210,HK.00248,HK.00254,HK.00353,HK.00357,HK.00482,HK.00487,HK.00495,HK.00531,HK.00565,HK.00601,HK.00733,HK.00768,HK.01022,HK.01026,HK.01172,HK.01189,HK.01237,HK.01317,HK.01498,HK.01620,HK.01660,HK.01842,HK.01843,HK.01898,HK.01905,HK.01935,HK.01989,HK.01993,HK.02100,HK.02159,HK.02279,HK.06805,HK.06860,HK.06996,HK.08005,HK.08133,HK.08219,HK.08220,HK.08245,HK.08249,HK.08275,HK.08277,HK.08293,HK.08363,HK.08448,HK.08526,HK.08619,HK.09626,HK.09869,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00268,HK.00354,HK.00596,HK.00700,HK.00856,HK.00861,HK.01860,HK.03888,HK.09988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00020,HK.00816,HK.01228,HK.01406,HK.01948,HK.02121,HK.02157,HK.02185,HK.02197,HK.02210,HK.02250,HK.02251,HK.02252,HK.02257,HK.02260,HK.02265,HK.02270,HK.02273,HK.02276,HK.02279,HK.02285,HK.06633,HK.06639,HK.06655,HK.06680,HK.06821,HK.07836,HK.09699,HK.09866,HK.09878,HK.09898,HK.09899,HK.09956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00013,HK.01179,HK.02015,HK.02057,HK.02518,HK.06160,HK.09618,HK.09626,HK.09688,HK.09698,HK.09866,HK.09868,HK.09888,HK.09898,HK.09901,HK.09961,HK.09987,HK.09988,HK.09991,HK.09999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00027,HK.00175,HK.00241,HK.00268,HK.00270,HK.00285,HK.00291,HK.00354,HK.00384,HK.00388,HK.00425,HK.00522,HK.00700,HK.00728,HK.00762,HK.00772,HK.00788,HK.00853,HK.00868,HK.00880,HK.00881,HK.00883,HK.00909,HK.00941,HK.00960,HK.00968,HK.01066,HK.01109,HK.01128,HK.01177,HK.01193,HK.01268,HK.01299,HK.01313,HK.01347,HK.01585,HK.01801,HK.01810,HK.01876,HK.01928,HK.01995,HK.01999,HK.02007,HK.02013,HK.02020,HK.02269,HK.02313,HK.02319,HK.02331,HK.02357,HK.02382,HK.02400,HK.03319,HK.03323,HK.03690,HK.03692,HK.03888,HK.03998,HK.06049,HK.06098,HK.06186,HK.06618,HK.06862,HK.06969,HK.09633,HK.09922,,,,,,,,,,
HK.00136,HK.01024,HK.01351,HK.01860,HK.01948,HK.02013,HK.02131,HK.03700,HK.06988,HK.08083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00241,HK.00302,HK.00700,HK.00799,HK.01024,HK.01060,HK.01119,HK.01896,HK.02400,HK.03690,HK.06618,HK.06862,HK.09618,HK.09922,HK.09988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00098,HK.00358,HK.00486,HK.00601,HK.00661,HK.00815,HK.01091,HK.01164,HK.01208,HK.01258,HK.01333,HK.01378,HK.01772,HK.01787,HK.01818,HK.02068,HK.02099,HK.02600,HK.02899,HK.03330,HK.03939,HK.03993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00460,HK.00719,HK.00867,HK.01125,HK.01530,HK.01696,HK.01827,HK.01830,HK.02135,HK.02138,HK.02196,HK.03600,HK.06699,HK.06826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00182,HK.00189,HK.00257,HK.00323,HK.00347,HK.00358,HK.00438,HK.00451,HK.00581,HK.00686,HK.00691,HK.00712,HK.00743,HK.00750,HK.00757,HK.00836,HK.00868,HK.00914,HK.00916,HK.00951,HK.00956,HK.01053,HK.01088,HK.01108,HK.01164,HK.01165,HK.01171,HK.01208,HK.01211,HK.01250,HK.01313,HK.01372,HK.01378,HK.01772,HK.01798,HK.01799,HK.01816,HK.01898,HK.02009,HK.02208,HK.02727,HK.02899,HK.03323,HK.03606,HK.03800,HK.03868,HK.03993,HK.06865,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00382,HK.00667,HK.00839,HK.01449,HK.01525,HK.01565,HK.01593,HK.01598,HK.01756,HK.01765,HK.01851,HK.01890,HK.01935,HK.01969,HK.02001,HK.02779,HK.06169,HK.09616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.01317,HK.01565,HK.01598,HK.01758,HK.01769,HK.01773,HK.01797,HK.03978,HK.06068,HK.09901,HK.09986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00151,HK.00286,HK.01086,HK.01112,HK.01230,HK.01317,HK.01717,HK.01761,HK.01951,HK.02170,HK.02319,HK.06186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00136,HK.00708,HK.03333,HK.06666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00570,HK.00874,HK.01498,HK.01643,HK.01666,HK.01681,HK.02161,HK.02186,HK.02273,HK.02877,HK.03320,HK.03613,HK.03737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00268,HK.00285,HK.00365,HK.00763,HK.00909,HK.00981,HK.00992,HK.01297,HK.01347,HK.01810,HK.02018,HK.02708,HK.03396,HK.03888,HK.06690,HK.09698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00020,HK.00302,HK.00547,HK.00700,HK.01024,HK.01119,HK.01263,HK.01810,HK.02018,HK.02131,HK.02382,HK.02400,HK.03738,HK.09626,HK.09911,HK.09919,HK.09988,HK.09992,HK.09999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00836,HK.00902,HK.00916,HK.00991,HK.01071,HK.01296,HK.01798,HK.01799,HK.01811,HK.02208,HK.02380,HK.02688,HK.03868,HK.06865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00165,HK.00257,HK.01257,HK.01848,HK.01857,HK.06178,HK.06818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00001,HK.00698,HK.00833,HK.01478,HK.01810,HK.03888,HK.08280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00365,HK.00628,HK.00763,HK.00981,HK.01296,HK.02239,HK.03396,HK.03888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00267,HK.00998,HK.01091,HK.01205,HK.01883,HK.06030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00285,HK.00819,HK.00951,HK.01043,HK.01211,HK.01772,HK.01986,HK.08137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00106,HK.00123,HK.00519,HK.00960,HK.02389,HK.03377,HK.08189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00382,HK.00667,HK.00839,HK.01525,HK.01569,HK.01756,HK.01765,HK.01890,HK.01981,HK.02001,HK.02779,HK.06169,HK.06913,HK.09616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00135,HK.00257,HK.00291,HK.00308,HK.00386,HK.00390,HK.00670,HK.00688,HK.00728,HK.00753,HK.00762,HK.00836,HK.00857,HK.00883,HK.00902,HK.00916,HK.00934,HK.00939,HK.00941,HK.00966,HK.00998,HK.01055,HK.01071,HK.01088,HK.01109,HK.01186,HK.01193,HK.01257,HK.01288,HK.01313,HK.01339,HK.01398,HK.01610,HK.01618,HK.01658,HK.01800,HK.01811,HK.01816,HK.01898,HK.02319,HK.02328,HK.02357,HK.02380,HK.02388,HK.02628,HK.02883,HK.03311,HK.03323,HK.03328,HK.03898,HK.03899,HK.03908,HK.03988,HK.03996,HK.06099,HK.06818,HK.06881,,,,,,,,,,,,,,,,,,,
HK.00187,HK.00189,HK.00956,HK.01072,HK.01760,HK.01907,HK.02338,HK.02727,HK.03899,HK.03996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00316,HK.00322,HK.00323,HK.00386,HK.00489,HK.00683,HK.00998,HK.01071,HK.01088,HK.01378,HK.01888,HK.01908,HK.02343,HK.03668,HK.03948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00259,HK.00334,HK.00710,HK.00732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00030,HK.00460,HK.01302,HK.01372,HK.01647,HK.01962,HK.02327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00001,HK.00004,HK.00005,HK.00011,HK.00012,HK.00016,HK.00023,HK.00052,HK.00066,HK.00083,HK.00101,HK.00116,HK.00127,HK.00178,HK.00341,HK.00590,HK.00592,HK.00653,HK.00709,HK.01113,HK.01150,HK.01212,HK.01255,HK.01869,HK.01929,HK.01972,HK.01997,HK.02356,HK.02638,HK.02888,HK.06811,HK.08510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00116,HK.00178,HK.00590,HK.00592,HK.00653,HK.00709,HK.00973,HK.01150,HK.01212,HK.01255,HK.01910,HK.01913,HK.01929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00288,HK.01068,HK.01340,HK.01610,HK.01699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00069,HK.00168,HK.00169,HK.00291,HK.00308,HK.00357,HK.00520,HK.00780,HK.01179,HK.01458,HK.01579,HK.01876,HK.01992,HK.02006,HK.02618,HK.03690,HK.06862,HK.09922,HK.09956,HK.09961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00922,HK.01448,HK.08082,HK.08108,HK.08296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
